OBJECTID,Photo,Epoch,Time_,SLR,TLat,TLon,AAT,Azi,Dpr,CLat,Clon,CAlt,CPi,CRoll,CYaw,CFOV,TMGRS
408,X_train,52532,1495275,0,-40.333185,175.824486,0,0,90,-40.333188,175.824556,1622,-1.56,-1,155.53,70,60GVA 00146 34598
409,X_test,52607,1495575,0,-40.333551,175.824742,0,0,90,-40.333521,175.824745,1610.9,0.21,-0.34,158.3,70,60GVA 00169 34558
